"","Metabolic_activity","compound","taxonomy.ID"
"1317","Consumption (import)","C00031","Ruminococcus albus"
"1318","Consumption (import)","C00031","Blautia obeum"
"1319","Consumption (import)","C00031","Selenomonas artemidis"
"1320","Consumption (import)","C00031","Selenomonas flueggei"
"1321","Consumption (import)","C00031","Selenomonas noxia"
"1322","Consumption (import)","C00031","Selenomonas sputigena"
"1323","Consumption (import)","C00031","Shigella boydii"
"1324","Consumption (import)","C00031","Sodalis glossinidius"
"1325","Consumption (import)","C00031","Streptococcus equinus"
"1326","Consumption (import)","C00031","Streptococcus gordonii"
"1327","Consumption (import)","C00031","Streptococcus mutans"
"1328","Consumption (import)","C00031","Subdoligranulum variabile"
"1329","Consumption (import)","C00031","Sulfolobus acidocaldarius"
"1330","Consumption (import)","C00031","Saccharolobus solfataricus"
"1331","Consumption (import)","C00031","Thermococcus barophilus"
"1332","Consumption (import)","C00031","Thermococcus gammatolerans"
"1333","Consumption (import)","C00031","Thermococcus kodakarensis"
"1334","Consumption (import)","C00031","Thermococcus onnurineus"
"1335","Consumption (import)","C00031","Thermococcus sibiricus"
"1336","Consumption (import)","C00031","Thermoplasma acidophilum"
"1337","Consumption (import)","C00031","Thermotoga maritima"
"1338","Consumption (import)","C00031","Xanthomonas campestris"
"1339","Consumption (import)","C00031","Zymomonas mobilis"
"1340","Consumption (import)","C00191","Actinobacillus succinogenes"
"1341","Consumption (import)","C00191","Bacteroides eggerthii"
"1342","Consumption (import)","C00191","Bacteroides fragilis"
"1343","Consumption (import)","C00191","Bacteroides ovatus"
"1344","Consumption (import)","C00191","Bacteroides thetaiotaomicron"
"1345","Consumption (import)","C00191","Phocaeicola vulgatus"
"1346","Consumption (import)","C00191","Bifidobacterium longum"
"1347","Consumption (import)","C00191","Butyrivibrio proteoclasticus"
"1348","Consumption (import)","C00191","Escherichia coli"
"1349","Consumption (import)","C00191","Methylobacterium nodulans"
"1350","Consumption (import)","C00476, C01508","Bacteroides thetaiotaomicron"
"1352","Consumption (import)","C00476, C01508","Methylobacterium nodulans"
"1353","Consumption (import)","C00392","Acidovorax avenae"
"1354","Consumption (import)","C00392","Acidovorax delafieldii"
"1355","Consumption (import)","C00392","Actinobacillus succinogenes"
"1356","Consumption (import)","C00392","Aeromicrobium marinum"
"1357","Consumption (import)","C00392","Bacteroides xylanisolvens"
"1358","Consumption (import)","C00392","Bifidobacterium bifidum"
"1359","Consumption (import)","C00392","Clostridioides difficile"
"1360","Consumption (import)","C00392","Coprococcus catus"
"1361","Consumption (import)","C00392","Holdemania filiformis"
"1362","Consumption (import)","C00392","Lactobacillus acidophilus"
"1363","Consumption (import)","C00392","Lacticaseibacillus casei"
"1364","Consumption (import)","C00392","Lactobacillus delbrueckii"
"1365","Consumption (import) & production (export)","C00392","Limosilactobacillus fermentum"
"1366","Consumption (import)","C00392","Lactobacillus gasseri"
"1367","Consumption (import)","C00392","Lacticaseibacillus paracasei"
"1368","Consumption (import)","C00392","Lactiplantibacillus plantarum"
"1369","Production (export)","C00392","Limosilactobacillus reuteri"
"1370","Consumption (import)","C00392","Lacticaseibacillus rhamnosus"
"1371","Consumption (import)","C00392","Ligilactobacillus salivarius"
"1372","Consumption (import)","C00392","Mycolicibacterium smegmatis"
"1373","Consumption (import)","C00392","Shigella boydii"
"1374","Consumption (import)","C00392","Streptococcus agalactiae"
"1375","Consumption (import)","C00392","Streptococcus anginosus"
"1376","Consumption (import)","C00392","Streptococcus australis"
"1377","Consumption (import)","C00392","Streptococcus equinus"
"1378","Consumption (import)","C00392","Streptococcus cristatus"
"1379","Consumption (import)","C00392","Streptococcus downei"
"1380","Consumption (import)","C00392","Streptococcus dysgalactiae"
"1381","Consumption (import)","C00392","Streptococcus equi"
"1382","Consumption (import)","C00392","Streptococcus gallolyticus"
"1383","Consumption (import)","C00392","Streptococcus gordonii"
"1384","Consumption (import)","C00392","Streptococcus infantarius"
"1385","Consumption (import)","C00392","Streptococcus infantis"
"1386","Consumption (import)","C00392","Streptococcus mitis"
"1387","Consumption (import)","C00392","Streptococcus mutans"
"1388","Consumption (import)","C00392","Streptococcus oralis"
"1389","Consumption (import)","C00392","Streptococcus parasanguinis"
"1390","Consumption (import)","C00392","Streptococcus peroris"
"1391","Consumption (import)","C00392","Streptococcus pneumoniae"
"1392","Consumption (import)","C00392","Streptococcus pseudoporcinus"
"1393","Consumption (import)","C00392","Streptococcus pyogenes"
"1394","Consumption (import)","C00392","Streptococcus salivarius"
"1395","Consumption (import)","C00392","Streptococcus sanguinis"
"1396","Consumption (import)","C00392","Streptococcus suis"
"1397","Consumption (import)","C00392","Streptococcus thermophilus"
"1398","Consumption (import)","C00392","Streptococcus uberis"
"1399","Consumption (import)","C00392","Streptococcus vestibularis"
"1400","Consumption (import)","C00159","Achromobacter xylosoxidans"
"1401","Consumption (import)","C00159","Acidovorax delafieldii"
"1402","Consumption (import)","C00159","Alistipes shahii"
"1403","Consumption (import)","C00159","Anaerococcus hydrogenalis"
"1404","Consumption (import)","C00159","Anaerococcus lactolyticus"
"1405","Consumption (import)","C00159","Anaerococcus prevotii"
"1406","Consumption (import)","C00159","Anaerococcus tetradius"
"1407","Consumption (import)","C00159","Anaerococcus vaginalis"
"1408","Consumption (import)","C00159","Anaerotruncus colihominis"
"1409","Consumption (import)","C00159","Bacteroides ovatus"
"1410","Consumption (import)","C00159","Bacteroides thetaiotaomicron"
"1411","Consumption (import)","C00159","Bacteroides xylanisolvens"
"1412","Consumption (import)","C00159","Candidatus Baumannia cicadellinicola"
"1413","Consumption (import)","C00159","Blautia hydrogenotrophica"
"1414","Consumption (import)","C00159","Butyrivibrio fibrisolvens"
"1415","Consumption (import)","C00159","Butyrivibrio proteoclasticus"
"1416","Consumption (import)","C00159","Catenibacterium mitsuokai"
"1417","Consumption (import)","C00159","Clostridium acetobutylicum"
"1418","Consumption (import)","C00159","Collinsella aerofaciens"
"1419","Consumption (import)","C00159","Collinsella intestinalis"
"1421","Consumption (import)","C00159","Coprococcus eutactus"
"1422","Consumption (import)","C00159","Flavobacterium johnsoniae"
"1423","Consumption (import)","C00159","Holdemania filiformis"
"1424","Consumption (import)","C00159","Lactobacillus acidophilus"
"1425","Consumption (import)","C00159","Leptotrichia buccalis"
"1426","Consumption (import)","C00159","Pseudoleptotrichia goodfellowii"
"1427","Consumption (import)","C00159","Marvinbryantia formatexigens"
"1428","Consumption (import)","C00159","Megamonas hypermegale"
"1429","Consumption (import)","C00159","Odoribacter splanchnicus"
"1430","Consumption (import)","C00159","Parabacteroides distasonis"
"1431","Consumption (import)","C00159","Parabacteroides merdae"
"1432","Consumption (import)","C00159","Peptostreptococcus anaerobius"
"1433","Consumption (import)","C00159","Blautia obeum"
"1434","Consumption (import)","C00159","Shigella boydii"
"1435","Consumption (import)","C00159","Subdoligranulum variabile"
"1436","Consumption (import)","C00159","Saccharolobus solfataricus"
"1437","Consumption (import)","C06468","Bacteroides ovatus"
"1438","Consumption (import)","C06468","Bacteroides thetaiotaomicron"
"1439","Consumption (import)","C06468","Bacteroides uniformis"
"1440","Consumption (import)","C06468","Bacteroides xylanisolvens"
"1441","Consumption (import)","C06468","Bifidobacterium adolescentis"
"1442","Consumption (import)","C06468","Bifidobacterium angulatum"
"1443","Consumption (import)","C06468","Bifidobacterium animalis"
"1444","Consumption (import)","C06468","Bifidobacterium bifidum"
"1445","Consumption (import)","C06468","Bifidobacterium breve"
"1446","Consumption (import)","C06468","Bifidobacterium catenulatum"
"1447","Consumption (import)","C06468","Bifidobacterium dentium"
"1448","Consumption (import)","C06468","Bifidobacterium gallicum"
"1449","Consumption (import)","C06468","Bifidobacterium longum"
"1450","Consumption (import)","C06468","Bifidobacterium pseudocatenulatum"
"1451","Consumption (import)","C06468","Ruminococcus albus"
"1452","Consumption (import)","C06468","Ruminococcus bromii"
"1453","Consumption (import)","C06468","Ruminococcus flavefaciens"
"1454","Consumption (import)","C06468","[Ruminococcus] gnavus"
"1455","Consumption (import)","C06468","[Ruminococcus] lactaris"
"1456","Consumption (import)","C06468","Blautia obeum"
"1457","Consumption (import)","C06468","[Ruminococcus] torques"
"1458","Consumption (import)","C00121","Acidovorax avenae"
"1459","Consumption (import)","C00121","Acidovorax delafieldii"
"1460","Consumption (import)","C00121","Bacteroides ovatus"
"1461","Consumption (import)","C00121","Bacteroides thetaiotaomicron"
"1462","Consumption (import)","C00121","Bifidobacterium breve"
"1463","Consumption (import)","C00121","Collinsella aerofaciens"
"1464","Consumption (import)","C00121","Collinsella intestinalis"
"1466","Consumption (import)","C00121","Enterococcus faecalis"
"1467","Consumption (import)","C00121","Escherichia coli"
"1468","Consumption (import)","C00121","Holdemania filiformis"
"1469","Consumption (import)","C00121","Methylobacterium nodulans"
"1470","Consumption (import)","C00794, C01722","Acidovorax avenae"
"1471","Consumption (import)","C00794, C01722","Acidovorax delafieldii"
"1472","Consumption (import)","C00794, C01722","Actinobacillus succinogenes"
"1473","Consumption (import)","C00794, C01722","Aeromonas salmonicida"
"1474","Consumption (import)","C00794, C01722","Bacteroides xylanisolvens"
"1475","Consumption (import)","C00794, C01722","Clostridioides difficile"
"1477","Consumption (import)","C00794, C01722","Dorea longicatena"
"1478","Consumption (import)","C00794, C01722","Holdemania filiformis"
"1479","Consumption (import)","C00794, C01722","Salmonella enterica"
"1480","Consumption (import)","C00794, C01722","Shigella boydii"
"1481","Consumption (import)","C00794, C01722","Shigella dysenteriae"
"1482","Consumption (import)","C00794, C01722","Shigella flexneri"
"1483","Consumption (import)","C00794, C01722","Shigella sonnei"
"1484","Consumption (import)","C00795","Enterococcus casseliflavus"
"1485","Consumption (import)","C00795","Enterococcus faecalis"
"1486","Consumption (import)","C00795","Enterococcus faecium"
"1487","Consumption (import)","C00795","Enterococcus gallinarum"
"1488","Consumption (import)","C00795","Enterococcus italicus"
"1489","Consumption (import)","C00795","Lacticaseibacillus casei"
"1490","Consumption (import)","C00795","Limosilactobacillus fermentum"
"1491","Consumption (import)","C00795","Lactobacillus helveticus"
"1492","Consumption (import)","C00795","Lacticaseibacillus paracasei"
"1493","Consumption (import)","C00795","Lacticaseibacillus rhamnosus"
"1494","Consumption (import)","C00558","Escherichia coli"
"1495","Consumption (import)","C19636","Anaerotruncus colihominis"
"1496","Consumption (import)","C19636","Leptotrichia buccalis"
"1497","Consumption (import)","C19636","Leptotrichia hofstadii"
"1498","Consumption (import)","C19636","Subdoligranulum variabile"
"1499","Consumption (import)","C00181","Achromobacter xylosoxidans"
"1500","Consumption (import)","C00181","Actinobacillus succinogenes"
"1501","Consumption (import)","C00181","Bacteroides ovatus"
"1502","Consumption (import)","C00181","Bacteroides thetaiotaomicron"
"1503","Consumption (import)","C00181","Bacteroides xylanisolvens"
"1504","Consumption (import)","C00181","Bifidobacterium longum"
"1505","Consumption (import)","C00181","Butyrivibrio fibrisolvens"
"1506","Consumption (import)","C00181","Butyrivibrio proteoclasticus"
"1507","Consumption (import)","C00181","Clostridium acetobutylicum"
"1509","Consumption (import)","C00181","Coprococcus comes"
"1510","Consumption (import)","C00181","Dorea longicatena"
"1511","Consumption (import)","C00181","Flavobacterium johnsoniae"
"1512","Consumption (import)","C00181","Haloferax volcanii"
"1513","Consumption (import)","C00181","Holdemania filiformis"
"1514","Consumption (import)","C00181","Klebsiella pneumoniae"
"1515","Consumption (import)","C00181","Marvinbryantia formatexigens"
"1516","Consumption (import)","C00181","Megamonas hypermegale"
"1517","Consumption (import)","C00181","Methylobacterium nodulans"
"1518","Consumption (import)","C00181","Parabacteroides distasonis"
"1519","Consumption (import)","C00181","Parabacteroides merdae"
"1520","Consumption (import)","C00181","Prevotella copri"
"1521","Consumption (import)","C00181","Prevotella ruminicola"
"1522","Consumption (import)","C00181","Roseburia intestinalis"
"1523","Consumption (import)","C00181","Blautia obeum"
"1524","Consumption (import)","C00181","Shigella boydii"
